idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAYATHA,MAKUMP KAPATH (KHOLIFA ROWALA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,MANDU,NJAGBELA,LEVUMA (MANDU)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,ROGBOM SELLA,ROGBOM SELLA (MAKENI CITY)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,ROGBANEH,SESAY STREET (MAKENI CITY)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,ABERDEEN,38 FERRY ROAD ABERDEEN (WEST III)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST II,FOULAH TOWN,TALTON LANE (EAST II)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,DIANG,KONGBLAFEH,FORIA (DIANG)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,LUMLEY,FREETOWN (WEST III)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MAMANKOH 2,KAMAGBEW (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MAMANKOH,KATHENE (SELLA LIMBA)
EASTERN,KONO,KONO DISTRICT,FIAMA,KOOMA,GBAKIOR (FIAMA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,KAMANKOH 1,KAYASSIE (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MAMANKOH,KAMAFUFAIN (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,KANKOSA,KANKOSA (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,SAMIYA 1,KAMAGBANKARAY (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MAMANKOH 2,KASIGIRIE (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,KAMAWONIE,KAMAWONIE (SELLA LIMBA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,SONGBO,VAAMA (UPPER BANTA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MACONTEH,MABOMBO,MAKIN (MACONTEH)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MACONTEH,MABOMBO,MAKING (MACONTEH)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MACONTEH,MINTHOMORE,ROSELLA (MACONTEH)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MACONTEH,MABOMBO,MAKOBA (MACONTEH)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MACONTEH,KAYIMBOR,MALAL KONTEH (MACONTEH)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MACONTEH,MINTHOMORE,RO-GBESSEH (MACONTEH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAYATHA,MAIKONKO (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAYATHA,MABUM VILLAGE (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAYATHA,MABUM (KHOLIFA ROWALA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,MOSOE,SALINA-MOYAMBA (KAIYAMBA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,VAAMA (KOIDU CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,MOKEBBIE,MOKEBIE (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,YENKESSA,KPATEMA (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,GREEMA,MOFORNAH (BUMPEH)
