idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,KANGASA  KPAKA,KANGASA KPAKA (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,SAABA,KOINDU (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,SAABA,SINJO BANAKOR (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,JASENDE,FAINDA (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,PARVU,LIYAH (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,JASENDE,SEMABU (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,JASENDE,SUAKO (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,NYANGO,BELEBU (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,NYANGO,SUMBUYA (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,JASAYNDA,BOAMA (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,NYANGO,GRIEMA (KPAKA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,KPAKA,JASENDE,LOTTU (KPAKA)
SOUTHERN,BO,BO DISTRICT,TIKONKO,SEIWA,GAULA (TIKONKO)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,SARAFILAYA (NEYA)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,MANKALIA,KAMARON (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,DONBOSILIA (NEYA)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,TAMBAIA,FARAKOFEH (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,UPPPER-DELDU,KOLAKOYA II (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,LOWER  DELDU,SANKORIA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,SORIA (NEYA)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,TAMBAIA,KONDEYA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,MADOLO-FORIA,MADOLO-FORIA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,LOWER  DELDU,KONKOWAFIARO (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,LOWER  DELDU,MOROGBAYA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,UPPER DELDU,SANGBALA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,MADINA (NEYA)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,BENSECTION,TAMBAIA - BALIA (DELEMANDUGU)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,MAKENI,MALAKO (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,MAKENI MAGBAFTH,MALKAI (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,MAKENI MAGBAFTH,MASORIE (YONI MABANTA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,MANI,JEREHUN (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,MOKASSIE,MOKASSIE (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,SEMBEHUN,BANDAJUMA (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,MOKASSIE,NYAGOIHUN (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,MOKASSIE,KOYAMA (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,KAWAYA,KAWAYA (BAGRUWA)
SOUTHERN,BO,BO DISTRICT,BAGBO,JIMMI,MANDU 1 (BAGBO)
SOUTHERN,BO,BO DISTRICT,BAGBO,JIMMI,LIMBA (BAGBO)
SOUTHERN,BO,BO DISTRICT,BAGBO,NIAGOREHUN,NIAGOREHUN  TOWN (BAGBO)
NORTH WESTERN,KARENE,KARENE DISTRICT,SAFROKO,MAGBAFTH,LUNGI (SAFROKO)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,UPPER BAMBARA,NYANYAHUN,GINJAMA (UPPER BAMBARA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,UPPER BAMBARA,NYANYAHUN,GBANAHUN (UPPER BAMBARA)
EASTERN,KONO,KONO DISTRICT,GORAMA KONO,KANGAMA SECTION,NGEGBEMA (GORAMA KONO)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,MASOMGBO SECTION,ROBARAY (MAKARI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,MASONGO,MASONGO (MAKARI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,MASOMGBO SECTION,RORINKA (MAKARI)
NORTHERN,FALABA,FALABA DISTRICT,DEMBELIA,LARGOR SECTION,LARGO (DEMBELIA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBANTI,MASUBA,MAKENI CITY (GBANTI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,YANKASA,YANKASA (MAKARI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,MANKENEH BANA,MAKAPR (MAKARI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,YANKASA,KOLISOKOH (MAKARI)
EASTERN,KONO,KONO DISTRICT,GORAMA KONO,SELKOMA,NGBAGEMA (GORAMA KONO)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 2,KURIA (NEYA)
NORTH WESTERN,KARENE,KARENE DISTRICT,LIBEISAYGAHUN/GBOMBAHUN,MATUAH,MAMONEH (LIBEISAYGAHUN/GBOMBAHUN)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,THONKOMBA,MABAIBANA (MAKARI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,THONKOMBA,MABIABUNDA (MAKARI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKARI,THONKOMBA,THONKOMBA (MAKARI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,MATHENEH,MAKITEH (KOYA)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,FARAGBEMA (NEYA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,YEABAYA,KABAT (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KASORIA (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KASIKIRI (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KATHONYA (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KUTIYA (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KABASA II (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KAKUSERY (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,YEABAYA,KOLONKURAY (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KATHAMBIE (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KATIE (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,BANEKEH (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,YEABAYA,YEBAYA (TONKO LIMBA)
SOUTHERN,BO,BO DISTRICT,LUGBU,KAMBA SECTION,YAMBAMA (LUGBU)
EASTERN,KONO,KONO DISTRICT,SANDOR,SANGBAFEH,KOCHERO (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,SANGBAFEH,DAKAO (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,KAWAFE,TEIYA (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,KAWAFE,FENEMA (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,KAWAFE,SHEKUYA (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,KAWAFE,MOCHINE (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,KAWAFE,FABANDU (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,KAWAFE,POWUMA (SANDOR)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,GBERE THONKARA,VILLAGE (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,THONKARA,MAKAIBA (MAFORKI)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAFORKI,THOFAYIM,THOFAYIM (MAFORKI)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,LANGO TOWN (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,PUJEHUN SECTION,PUJEHUN (KENEMA CITY)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MASIMERA,KUMBUYA,ROYEMA (MASIMERA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MASIMERA,KOMBUYA,ROTHEREN (MASIMERA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MASIMERA,ROGBALLAN SECTION,ROTHOMA (MASIMERA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,TANGULA,SEMBEHUN KORTUWABU (FAKUNYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,NJAWA SECTION,MOKOREWA (FAKUNYA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,BOLIMA,KISSY TOWN SILLAH DRIVE (WATERLOO RURAL)
EASTERN,KONO,KONO DISTRICT,SANDOR,NJEIKOR,BOSAYA (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,NJEIKOR,BALCONDEYA TOWN (SANDOR)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,TASSOR,PATTY (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,TASSOR,KATTA (KAGBORO)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,LOWER DELDU,LANFUYAIA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,MANKALIA,LANSANABALIA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,TAMBAIA,FAYIGA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,KEMOSAYA (NEYA)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,LOWER  DELDU,TAMBAIA SHAKUIA (DELEMANDUGU)
NORTHERN,FALABA,FALABA DISTRICT,DELEMANDUGU,UPPPER-DELDU,WALGBAGBA (DELEMANDUGU)
SOUTHERN,BO,BO DISTRICT,BAGBO,JIMMI,KPAWAMA (BAGBO)
SOUTHERN,BO,BO DISTRICT,BAGBO,JIMMI,BANDAJUMA (BAGBO)
SOUTHERN,BO,BO DISTRICT,BAGBO,JIMMI,YENKEIN (BAGBO)
SOUTHERN,BO,BO DISTRICT,BAGBO,JIMMI,KAKAMA (BAGBO)
EASTERN,KONO,KONO DISTRICT,SANDOR,DAGBAIDU,BENDU KUNDOMA (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,BAFFIFEH,YENGEMA SANDOR (SANDOR)
EASTERN,KONO,KONO DISTRICT,SANDOR,DAGBAIDU,TEFEYA (SANDOR)
SOUTHERN,BO,BO DISTRICT,BAGBO,NIAGOREHUN,KPETEWOMA (BAGBO)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,TOMBO,BUREH TOWN (YORK RURAL)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,SAMADU (KOIDU CITY)
EASTERN,KONO,KONO DISTRICT,GBENSE,MOINDEKOR,YARDU GBENSE (GBENSE)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,KAKLAWA,KORTUHUN (GORAMA MENDE)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAMASONDO,BOROPE,BOROPE TOWN (KAMASONDO)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAMASONDO,MAGBOKWORR,BUNDULAI (KAMASONDO)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,DIXON,KALANGBA,ROTIFUNK (DIXON)
SOUTHERN,BO,BO DISTRICT,BAGBO,JIMMI,MATTRU BAGBO (BAGBO)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,UPPER YARMS FARM,UPPER YARMS FARM (WATERLOO RURAL)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BIRIWA,KABAKE SECTION,KABAKE (BIRIWA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,YORK RURAL,YORK RURAL
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,GRAFTON,OLD CAMP (WATERLOO RURAL)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,TAMISO,TAMSO,KAMAYATOYO (TAMISO)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAGBAIMBA NDORWAHUN,KABERE,KABERE (MAGBAIMBA NDORWAHUN)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,DASSE,SEMABU SECTION,GORGENDEHUN (DASSE)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,YEABAYA,KAYANKA (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KABASA I (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,KAMASASA,KAMABALA (TONKO LIMBA)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,KURUBONLA (NEYA)
EASTERN,KONO,KONO DISTRICT,SANDOR,DAGBAIDU,BENDU KONDAMA (SANDOR)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,FALLAY,TAMBEYAMA (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,LIMBA,WAIMA (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,SONJOR 1,NGEIYAWAMEI (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,DAKONA,TANINAHUN (BARRI)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,KONTHA THENKEL (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,ROTHEMNE (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,BOMBEH,GBERIKA JUNCTION (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,BOMBEH,GBERIKA TOWN (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,BOMBEH,MACONTEH (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,KARENEH (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,KARGBULOR (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,MAPAIGBO (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,BOMBEH,GBANKFAY (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,MAMANKIE (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,BOMBEH,BOMBEH (MAGBEMA)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,WUSUM,FRONTIER STREET (MAKENI CITY)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,WUSUM,FROINTER ROAD MAKENI (MAKENI CITY)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKENI CITY,GBANTI,MAKNEH (MAKENI CITY)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,KAGBARA,VETERINARY ROAD TEKO SANDALS COMMUNITY (MAKENI CITY)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KALIAN,KALLIAN SECTION,TUNKULIE (KALIAN)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,DAUDA TOWN (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,JABBA STREET (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,KOYAGBEMA (KENEMA CITY)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,BIG WATER,BIG WATER (YORK RURAL)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,ISATU STREET LAMBAYAMA (KENEMA CITY)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,SENGBE,KOINADUGU,FRONOYA (SENGBE)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,KUYATEH STREET (KENEMA CITY)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,SENGBE,BENDUGU,SENGBE BENDUGU (SENGBE)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,SENGBE,KOINADUGU,KOINADUGU (SENGBE)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,DIANG,GBEREIA,BENDUKORO (DIANG)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,KAMBOWABU (KENEMA CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KORI,MOWONGA,JENNEH GBANDAWA (KORI)
SOUTHERN,BO,BO DISTRICT,BAGBO,JIMMI,LEVUMA (BAGBO)
SOUTHERN,BO,BO DISTRICT,NIAWA LENGA,LOWER NIAWA,MBELLEBY (NIAWA LENGA)
SOUTHERN,BO,BO DISTRICT,NIAWA LENGA,YALENGA,KONGOMBAHUN (NIAWA LENGA)
SOUTHERN,BO,BO DISTRICT,NIAWA LENGA,YALENGA,KPAR (NIAWA LENGA)
SOUTHERN,BO,BO DISTRICT,NIAWA LENGA,BAIMBA,NJAGBEMA (NIAWA LENGA)
SOUTHERN,BO,BO DISTRICT,NIAWA LENGA,BAIMBA,KORBU (NIAWA LENGA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KASUNKO,KAMANKAY (KASUNKO KAKELLIAN)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,NEWTON 4 MILE,KPOUBU 4 MILE (KOYA RURAL)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,GBOGBOAFEH,BENDUMA (NIMIKORO)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,ROBONKA,ROBONKA (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,NGARAHUN VILLAGE,VIA CROSSING (KOYA RURAL)
SOUTHERN,BONTHE,BONTHE DISTRICT,BUM,FIKIE,BENGEH (BUM)
SOUTHERN,BONTHE,BONTHE DISTRICT,KWAMEBAI KRIM,KPANGA KOIMATO,HOYA (KWAMEBAI KRIM)
SOUTHERN,BONTHE,BONTHE DISTRICT,BUM,GBENGAIN,KARLEH (BUM)
SOUTHERN,BONTHE,BONTHE DISTRICT,BUM,YARGBE,JUDIA (BUM)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,FOYO VILLAGE,FOYA VILLAGE (KOYA RURAL)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,CENTRAL I,AKIMORI,LEICESTER ROAD TREE PLANTING (CENTRAL I)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,KAGBARA SECTION,ROPOLON II (MAKENI CITY)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAKENI CITY,MAYANKA,MATANKA (MAKENI CITY)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,KAGBARA ROKOM,ROPOLON ROAD MAKENI (MAKENI CITY)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,SHEBORA,STATION ROAD MAKENI (MAKENI CITY)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,KAGBARA,JOHN TUCKER STREET (MAKENI CITY)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,UPER KOYA,PEWAMA (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,UPER KOYA,BONGOR (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,UPER KOYA,NYANDEHUN (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,UPER KOYA,NGENGEMA (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,BAOMA,GORAHUN 1 (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,BAOMA,NJAJAHUN (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,BAOMA,BAOMA (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,BAOMA,BORGBUABU (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,KAKWEVINE,JOI (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,MENIMA,MENIMA (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,KOYA,SERABU,KAMASU (KOYA)
EASTERN,KENEMA,KENEMA DISTRICT,LANGRAMA,KORJEI,YAMBAIMA (LANGRAMA)
NORTHERN,FALABA,FALABA DISTRICT,NYEDU,BUMBUKORO,BUMBUKORO (NYEDU)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MASUNGBALA,KAWULA,KAWULA (MASUNGBALA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MASUNGBALA,KAWULA,LAMINAYA (MASUNGBALA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MASUNGBALA,BENNAH,BENNAH (MASUNGBALA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MASUNGBALA,MAPOLON,ROBANKA MAKULLOH (MASUNGBALA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MASUNGBALA,BENNAH,MALIKIA (MASUNGBALA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,SEDUYA,SEDUYA (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,KABAYA,FORMEH (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,GBREKHURAY,BARIKUYA (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,GBERAKHURAY,GBERAKHURAY (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,GBEREKHURAY,TURAYA (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,GBERAKHURAY,YOMBORONDULADAY (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,KUFURU BUGAMIE,BUGAMIE (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,KABAYA,FANYEA (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,DURAMANIYA,SORIEMANIKAYA (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,KHONIMAKA,GBERAKHURAY,LAYADEE (KHONIMAKA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MASUNGBALA,KAWULA,GBALAN MAYINKA (MASUNGBALA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MASUNGBALA,BENNAH,ROKHAANU (MASUNGBALA)
SOUTHERN,BO,BO CITY,BO TOWN,DURBAR GROUND,DURBA GROUND (BO TOWN)
SOUTHERN,BO,BO CITY,BO TOWN,NJAI TOWN,NJAI TOWN (BO TOWN)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,WATERLOO,FULLA TOWN (WATERLOO RURAL)
EASTERN,KONO,KONO DISTRICT,MAFINDOR,KUTTAY,YORMADU (MAFINDOR)
NORTHERN,FALABA,FALABA DISTRICT,MORIFINDUGU,MORFINDUGU II,GBEREFEH (MORIFINDUGU)
NORTHERN,FALABA,FALABA DISTRICT,MORIFINDUGU,MORFINDUGU,TILIKORO (MORIFINDUGU)
NORTHERN,FALABA,FALABA DISTRICT,MORIFINDUGU,MORIFINDUGU SECTION II,SEMESADU (MORIFINDUGU)
NORTHERN,FALABA,FALABA DISTRICT,MORIFINDUGU,MORIFINDUGU SECTION I,KOMBILI (MORIFINDUGU)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,PIMBI LANE (KOIDU CITY)
SOUTHERN,BO,BO CITY,BO TOWN,KOWAMA,KOWAMA (BO TOWN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA BAFODIA,YAGALA,KABALA (WARA WARA BAFODIA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA YAGALA,KABALA CENTRAL,BINTUMANI RD. (WARA WARA YAGALA)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 2,KONDEDALEMA (NEYA)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,KUMBAWULLEN BALLA (NEYA)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,NEYA 1,SEREDU (NEYA)
NORTHERN,FALABA,FALABA DISTRICT,NEYA,TOROYA,TOROYA (NEYA)
EASTERN,KENEMA,KENEMA DISTRICT,LOWER BAMBARA,GBONYA,WEIMA (LOWER BAMBARA)
EASTERN,KENEMA,KENEMA DISTRICT,LOWER BAMBARA,SEI,GUAYIEHUN (LOWER BAMBARA)
EASTERN,KENEMA,KENEMA DISTRICT,LOWER BAMBARA,SEI,LOWOMA (LOWER BAMBARA)
EASTERN,KENEMA,KENEMA DISTRICT,LOWER BAMBARA,SEI,FOWAO (LOWER BAMBARA)
EASTERN,KENEMA,KENEMA DISTRICT,LOWER BAMBARA,SEI,NJA KUNDORMA (LOWER BAMBARA)
